dataTime,khaiValue,so2Value,coValue,pm10Value,no2Value,o3Value
2024-02-10,106.33333333333333,0.0030000000000000005,0.6333333333333333,57.0,0.025333333333333333,0.034333333333333334
2024-02-11,116.78260869565217,0.002565217391304348,0.5739130434782609,61.0,0.019521739130434784,0.036043478260869566
2024-02-12,157.82608695652175,0.0026521739130434784,0.6565217391304348,67.56521739130434,0.02756521739130435,0.02665217391304348
2024-02-13,110.11111111111111,0.0029000000000000002,0.645,66.7,0.0402,0.020649999999999998
2024-02-14,87.69565217391305,0.003130434782608696,0.6130434782608696,49.56521739130435,0.042043478260869564,0.017695652173913046
2024-02-15,57.26086956521739,0.002391304347826087,0.37826086956521743,22.652173913043477,0.01908695652173913,0.029782608695652177
2024-02-16,55.08695652173913,0.0023043478260869566,0.41739130434782606,23.304347826086957,0.02782608695652174,0.019782608695652175
2024-02-17,77.3913043478261,0.002782608695652174,0.5347826086956522,40.130434782608695,0.03643478260869565,0.016217391304347826
2024-02-18,75.1304347826087,0.002391304347826087,0.5043478260869565,33.21739130434783,0.03356521739130435,0.012695652173913042
2024-02-19,55.47826086956522,0.0026521739130434784,0.5608695652173913,13.73913043478261,0.033,0.009956521739130435
2024-02-20,57.04347826086956,0.0023478260869565218,0.4652173913043478,27.47826086956522,0.02439130434782609,0.014826086956521737
2024-02-21,52.0,0.002,0.28695652173913044,3.0,0.014478260869565218,0.028608695652173916
2024-02-22,48.22222222222222,0.0019565217391304345,0.26956521739130435,6.294117647058823,0.014695652173913044,0.030956521739130435
2024-02-23,52.56521739130435,0.0019565217391304345,0.2782608695652174,8.217391304347826,0.013565217391304348,0.03356521739130435
2024-02-24,49.82608695652174,0.002,0.3,12.869565217391305,0.014,0.03126086956521739
2024-02-25,48.52173913043478,0.0020869565217391307,0.33043478260869563,13.043478260869565,0.013782608695652175,0.029521739130434786
2024-02-26,62.08695652173913,0.002043478260869565,0.39999999999999997,25.91304347826087,0.023434782608695654,0.022130434782608698
2024-02-27,52.285714285714285,0.002,0.3,18.42105263157895,0.01694736842105263,0.030157894736842102
2024-02-28,52.095238095238095,0.0023478260869565218,0.3739130434782609,32.30434782608695,0.024695652173913042,0.02534782608695652
2024-02-29,84.52173913043478,0.0024782608695652175,0.5391304347826087,55.95652173913044,0.03126086956521739,0.022043478260869564
2024-03-01,66.30434782608695,0.002043478260869565,0.3,33.73913043478261,0.007,0.04095652173913043
2024-03-02,55.17391304347826,0.002130434782608696,0.3391304347826087,29.91304347826087,0.012956521739130434,0.035869565217391305
2024-03-03,186.43478260869566,0.002173913043478261,0.5565217391304348,112.04347826086956,0.018304347826086954,0.04004347826086957
2024-03-04,152.04347826086956,0.0024782608695652175,0.5434782608695652,74.0,0.03904347826086957,0.021043478260869563
2024-03-05,76.69565217391305,0.002608695652173913,0.42173913043478256,44.47826086956522,0.03247826086956522,0.02634782608695652
2024-03-06,54.21739130434783,0.002,0.27391304347826084,13.043478260869565,0.019956521739130435,0.03243478260869565
2024-03-07,62.21052631578947,0.0020952380952380953,0.2263157894736842,29.857142857142858,0.02038095238095238,0.03157142857142857
2024-03-08,70.65217391304348,0.0023478260869565218,0.3695652173913043,41.869565217391305,0.014869565217391302,0.039999999999999994
2024-03-09,56.869565217391305,0.002173913043478261,0.32608695652173914,31.17391304347826,0.014304347826086958,0.035695652173913045
2024-03-10,58.56521739130435,0.0023043478260869566,0.34347826086956523,28.347826086956523,0.021130434782608697,0.03326086956521739
2024-03-11,68.65217391304348,0.002608695652173913,0.39565217391304347,31.956521739130434,0.03739130434782609,0.022043478260869564
2024-03-12,70.04347826086956,0.002391304347826087,0.43043478260869567,30.869565217391305,0.03834782608695652,0.020739130434782607
2024-03-13,69.52173913043478,0.0026521739130434784,0.3869565217391305,42.08695652173913,0.02330434782608696,0.041913043478260865
2024-03-14,86.47826086956522,0.002956521739130435,0.4043478260869566,56.608695652173914,0.02608695652173913,0.04695652173913044
2024-03-15,82.72222222222223,0.0031538461538461538,0.375,46.1,0.025500000000000002,0.04165
2024-03-16,84.47826086956522,0.0034444444444444444,0.43913043478260866,50.0,0.030478260869565215,0.03921739130434783
2024-03-17,123.47826086956522,0.0024782608695652175,0.3130434782608696,86.0,0.012347826086956521,0.04582608695652174
2024-03-18,57.82608695652174,0.002826086956521739,0.3391304347826087,21.217391304347824,0.024173913043478264,0.030565217391304345
2024-03-19,68.52173913043478,0.002565217391304348,0.39999999999999997,47.43478260869565,0.020869565217391303,0.03821739130434783
2024-03-20,74.69565217391305,0.002043478260869565,0.3391304347826087,36.52173913043478,0.012565217391304347,0.04052173913043478
2024-03-21,63.869565217391305,0.0026956521739130435,0.3695652173913043,32.47826086956522,0.01973913043478261,0.040739130434782604
2024-03-22,66.78947368421052,0.00275,0.3952380952380953,36.76190476190476,0.028619047619047617,0.032999999999999995
2024-03-23,81.1304347826087,0.002130434782608696,0.3869565217391305,57.56521739130435,0.019,0.052565217391304354
2024-03-24,65.21739130434783,0.002173913043478261,0.3652173913043478,30.91304347826087,0.01717391304347826,0.04378260869565218
2024-03-25,57.52173913043478,0.002043478260869565,0.3130434782608696,18.47826086956522,0.01834782608695652,0.03647826086956522
2024-03-26,58.2,0.002,0.28695652173913044,6.944444444444445,0.015217391304347825,0.03834782608695652
2024-03-27,56.43478260869565,0.0025217391304347826,0.3826086956521739,21.782608695652176,0.026043478260869564,0.029304347826086957
2024-03-28,56.1,0.0024782608695652175,0.44347826086956527,24.08695652173913,0.03052173913043478,0.02330434782608696
