날짜,PM10,PM2.5,오 존,이산화질소,일산화탄소,아황산가스,"최종확정
여부"
(년-월-일),(㎍/㎥),(㎍/㎥),(ppm),(ppm),(ppm),(ppm),
2024-03-02,29,15,0.0330,0.0167,0.33,0.0028,N
2024-03-01,30,13,0.0392,0.0069,0.26,0.0027,N
2024-02-29,46,37,0.0241,0.0250,0.49,0.0028,N
2024-02-28,27,19,0.0213,0.0260,0.37,0.0027,N
2024-02-27,17,12,0.0280,0.0184,0.34,0.0023,N
2024-02-26,26,21,0.0220,0.0224,0.42,0.0027,N
2024-02-25,11,18,0.0301,0.0124,0.33,0.0024,N
2024-02-24,12,10,0.0281,0.0155,0.30,0.0023,N
2024-02-23,9,7,0.0280,0.0166,0.29,0.0023,N
2024-02-22,6,4,0.0279,0.0165,0.29,0.0024,N
2024-02-21,4,2,0.0258,0.0162,0.30,0.0025,N
2024-02-20,22,15,0.0164,0.0189,0.42,0.0027,N
2024-02-19,12,8,0.0119,0.0272,0.54,0.0029,N
2024-02-18,35,30,0.0106,0.0355,0.57,0.0029,N
2024-02-17,38,32,0.0172,0.0364,0.58,0.0033,N
2024-02-16,23,19,0.0186,0.0279,0.45,0.0030,N
2024-02-15,18,14,0.0303,0.0135,0.33,0.0026,N
2024-02-14,44,29,0.0194,0.0383,0.70,0.0036,N
2024-02-13,59,42,0.0209,0.0398,0.68,0.0033,N
2024-02-12,57,48,0.0224,0.0308,0.65,0.0032,N
2024-02-11,58,52,0.0346,0.0199,0.57,0.0030,N
2024-02-10,41,37,0.0345,0.0217,0.56,0.0030,N
2024-02-09,29,25,0.0271,0.0264,0.50,0.0029,N
2024-02-08,34,31,0.0222,0.0317,0.58,0.0030,N
2024-02-07,29,27,0.0241,0.0224,0.50,0.0026,N
2024-02-06,11,11,0.0240,0.0227,0.36,0.0024,N
2024-02-05,5,4,0.0318,0.0154,0.27,0.0024,N
2024-02-04,21,17,0.0209,0.0234,0.42,0.0027,N
2024-02-03,29,24,0.0145,0.0312,0.46,0.0030,N
2024-02-02,37,34,0.0170,0.0335,0.50,0.0031,N
2024-02-01,73,58,0.0278,0.0287,0.72,0.0034,N
2024-01-31,50,43,0.0187,0.0446,0.81,0.0035,N
2024-01-30,49,42,0.0127,0.0439,0.79,0.0032,N
