,dataTime,khaiValue,so2Value,coValue,pm10Value,no2Value,o3Value
0,2024-02-10,86.33333333333333,0.0030000000000000005,0.6999999999999998,50.666666666666664,0.012333333333333333,0.034
1,2024-02-11,122.82608695652173,0.002391304347826087,0.7043478260869565,52.26086956521739,0.00973913043478261,0.04104347826086956
2,2024-02-12,95.69565217391305,0.002391304347826087,0.6043478260869565,42.0,0.010782608695652174,0.03669565217391304
3,2024-02-13,80.26086956521739,0.0028695652173913043,0.6217391304347827,35.47826086956522,0.01808695652173913,0.030000000000000002
4,2024-02-14,70.56521739130434,0.0026521739130434784,0.6695652173913044,31.17391304347826,0.022391304347826088,0.013956521739130435
5,2024-02-15,52.04761904761905,0.002608695652173913,0.6043478260869565,17.652173913043477,0.013391304347826087,0.021782608695652173
6,2024-02-16,50.95238095238095,0.0020476190476190477,0.41904761904761906,18.09090909090909,0.009666666666666665,0.03133333333333334
7,2024-02-17,53.0,0.0026956521739130435,0.3739130434782609,22.08695652173913,0.010782608695652174,0.03091304347826087
8,2024-02-18,72.7,0.002608695652173913,0.4739130434782609,35.47826086956522,0.017304347826086957,0.017260869565217392
9,2024-02-19,63.0,0.0031739130434782605,0.6,18.91304347826087,0.016043478260869565,0.024869565217391303
10,2024-02-20,48.95238095238095,0.002,0.46956521739130436,12.782608695652174,0.01382608695652174,0.020913043478260868
11,2024-02-21,49.17391304347826,0.002,0.39565217391304347,6.826086956521739,0.011782608695652175,0.029826086956521742
12,2024-02-22,54.04545454545455,0.002,0.3227272727272727,7.173913043478261,0.009181818181818182,0.034772727272727275
13,2024-02-23,53.91304347826087,0.002,0.30434782608695654,13.782608695652174,0.009347826086956522,0.034826086956521736
14,2024-02-24,56.73913043478261,0.002,0.32173913043478264,15.869565217391305,0.007478260869565217,0.03804347826086957
15,2024-02-25,51.21052631578947,0.002,0.32608695652173914,9.130434782608695,0.006826086956521739,0.031
16,2024-02-26,46.21739130434783,0.002043478260869565,0.3565217391304348,14.608695652173912,0.009652173913043478,0.02773913043478261
17,2024-02-27,48.391304347826086,0.0020869565217391307,0.3695652173913043,21.956521739130434,0.010347826086956521,0.02956521739130435
18,2024-02-28,52.69565217391305,0.002130434782608696,0.391304347826087,25.26086956521739,0.011478260869565217,0.03008695652173913
19,2024-02-29,56.05555555555556,0.0022380952380952382,0.40476190476190477,23.0,0.013666666666666666,0.022952380952380953
20,2024-03-01,54.43478260869565,0.0022173913043478264,0.30869565217391304,23.26086956521739,0.007043478260869565,0.03726086956521739
21,2024-03-02,60.08695652173913,0.0023478260869565218,0.34782608695652173,22.043478260869566,0.005956521739130435,0.042130434782608694
22,2024-03-03,71.30434782608695,0.002826086956521739,0.5304347826086956,45.43478260869565,0.011869565217391305,0.03804347826086957
23,2024-03-04,107.26086956521739,0.0026521739130434784,0.5826086956521739,65.47826086956522,0.018130434782608694,0.03273913043478261
24,2024-03-05,71.57142857142857,0.0020476190476190477,0.4238095238095238,18.869565217391305,0.014333333333333333,0.03585714285714286
25,2024-03-06,58.21739130434783,0.0020869565217391307,0.2956521739130435,19.347826086956523,0.010434782608695651,0.03978260869565218
26,2024-03-07,54.26086956521739,0.002826086956521739,0.3173913043478261,25.47826086956522,0.010043478260869565,0.034869565217391305
27,2024-03-08,66.17391304347827,0.0030869565217391307,0.3,32.73913043478261,0.00973913043478261,0.041478260869565214
28,2024-03-09,57.869565217391305,0.002956521739130435,0.2391304347826087,22.695652173913043,0.008347826086956523,0.03895652173913044
29,2024-03-10,66.26086956521739,0.0024782608695652175,0.2956521739130435,25.652173913043477,0.009347826086956522,0.03795652173913044
30,2024-03-11,63.73913043478261,0.0026956521739130435,0.34347826086956523,26.347826086956523,0.011478260869565217,0.03473913043478261
31,2024-03-12,49.7,0.002,0.33999999999999997,19.136363636363637,0.00835,0.030199999999999998
32,2024-03-13,61.31578947368421,0.0021176470588235297,0.49000000000000005,22.47826086956522,0.009105263157894738,0.0328695652173913
33,2024-03-14,81.6923076923077,0.003307692307692308,0.5692307692307692,37.130434782608695,0.009538461538461539,0.04768181818181818
34,2024-03-15,77.82608695652173,0.0028695652173913043,0.6,34.869565217391305,0.012826086956521739,0.03782608695652174
35,2024-03-16,73.0,0.0030869565217391307,0.45217391304347826,37.95652173913044,0.011391304347826087,0.04530434782608696
36,2024-03-17,68.78260869565217,0.00291304347826087,0.46956521739130436,40.82608695652174,0.008130434782608695,0.050478260869565215
37,2024-03-18,95.08695652173913,0.002608695652173913,0.45217391304347826,65.8695652173913,0.008478260869565218,0.04126086956521739
38,2024-03-19,71.5909090909091,0.003181818181818182,0.48636363636363633,52.47826086956522,0.010909090909090908,0.04181818181818182
39,2024-03-20,63.78260869565217,0.002173913043478261,0.32608695652173914,24.217391304347824,0.006173913043478261,0.04639130434782608
40,2024-03-21,58.130434782608695,0.0027391304347826086,0.3826086956521739,23.869565217391305,0.008695652173913044,0.03947826086956522
41,2024-03-22,66.04347826086956,0.0024347826086956524,0.43913043478260866,27.347826086956523,0.010521739130434781,0.03917391304347826
42,2024-03-23,70.56521739130434,0.0026521739130434784,0.4956521739130435,47.69565217391305,0.008739130434782609,0.051260869565217394
43,2024-03-24,64.17391304347827,0.0020869565217391307,0.5347826086956522,30.0,0.009043478260869564,0.03908695652173913
44,2024-03-25,53.1,0.0020476190476190477,0.45714285714285713,20.772727272727273,0.010142857142857143,0.03066666666666667
45,2024-03-26,53.57142857142857,0.002043478260869565,0.34347826086956523,8.217391304347826,0.008652173913043478,0.03726086956521739
